dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
Update.DM.media,1093,Update,,,DM,media,,ReadWriteDM
Read.Useraccount.countryCode,1094,Read,,,Useraccount,countryCode,,Read
Read.Auth.oauth-token,1095,Read,,,Auth,oauth-token,,Read
Read.Useraccount.FollowedAccounts,1096,Read,,,Useraccount,FollowedAccounts,,Read
Read.Useraccount.Marketing - referral,1097,Read,,,Useraccount,Marketing - referral,,Read
Read.Device.KDT-token,1098,Read,,,Device,KDT-token,,Read
Display.Auth.oauth-token,1099,Display,,,Auth,oauth-token,,Read
Display.Device.KDT-token,1100,Display,,,Device,KDT-token,,Read
Display.Auth.verification-code,1101,Display,,,Auth,verification-code,,Read
Read.Tweet.ID,1102,Read,,,Tweet,ID,,Read
Display.Ads.3rdparty-website-url,1103,Display,,,Ads,3rdparty-website-url,,Read
Display.Ads.Media-id,1104,Display,,,Ads,Media-id,,Read
Read.UserAccount.ip-address,1105,Read,,,UserAccount,ip-address,,Read
Display.Ads.tracking,1106,Display,,,Ads,tracking,,Read
Read.UserAccount.Language,1107,Read,,,UserAccount,Language,,Read
Display.AdsAccount.handle,1108,Display,,,AdsAccount,handle,,Read
Display.AdsAccount.fullname,1109,Display,,,AdsAccount,fullname,,Read
Read.Card.Id,1110,Read,,,Card,Id,,Read
Display.AdsAccount.appstore-app-ids,1111,Display,,,AdsAccount,appstore-app-ids,,Read
Display.AdsAccount.timezone,1112,Display,,,AdsAccount,timezone,,Read
Display.AdsAccount.flag (IsVerified),1113,Display,,,AdsAccount,flag (IsVerified),,Read
Display.AdsAccount.flag (IsProtected),1114,Display,,,AdsAccount,flag (IsProtected),,Read
Create.AdsAccount.media url,1115,Create,,,AdsAccount,media url,,ReadWrite
Display.AdsAccount.feature flag,1116,Display,,,AdsAccount,feature flag,,Read
Display.Ads.3rdparty-video-url,1117,Display,,,Ads,3rdparty-video-url,,Read
Read.Ads.3rdparty-video-url,1118,Read,,,Ads,3rdparty-video-url,,Read
